Calories in Biscuits															
	Carbs(g)	Prot(g)	Calories	Net Carbs(g)	Sugar(g)	Fiber(g)	Total Carbs(g)	Mono(g)	Poly(g)	Sat(g)	Total Fat(g)	Iron(%)	Calcium(%)	Vitamin A(%)	Vitamin C(%)
Popular Sizes of Plain or Buttermilk Biscuits															
 1 small	6.24	0.98	49	6.04	0.31	0.2	6.24	0.97	0.58	0.61	2.28	2	3	-	-
 1 regular	26.76	4.2	212	25.86	1.31	0.9	26.76	4.16	2.5	2.59	9.78	10	14	1	-
 1 large	45.05	7.07	357	43.55	2.2	1.5	45.05	7	4.21	4.37	16.46	16	24	2	-
 Bacon Biscuit	40.4	8.85	357	39.3	2.89	1.1	40.4	7.58	5.63	3.44	17.88	16	4	-	-
 Egg and Bacon Biscuit	23.63	14.05	378	23.03	2.29	0.6	23.63	11.11	6.18	6.57	25.7	17	16	-	4
 Egg and Cheese Biscuit	35.46	13.09	426	34.66	4.45	0.8	35.46	9.66	7	7.13	25.77	16	18	-	-
 Egg and Ham Biscuit	25.27	14.68	331	24.67	2.22	0.6	25.27	7.88	5.53	4.25	19.43	18	16	-	-
 Egg and Sausage Biscuit	37.03	17.24	523	36.23	2.95	0.8	37.03	14.76	4	13.48	34.83	20	14	-	-
 Egg and Steak Biscuit	50.44	19.78	541	49.14	4.21	1.3	50.44	12.24	8.86	5.68	28.91	25	8	-	-
 Egg, Cheese and Bacon Biscuit	30.38	12.57	342	29.68	3.71	0.7	30.38	7.21	4.59	5.56	18.85	14	15	-	-
 Egg, Cheese and Ham Biscuit	42.69	18.57	459	41.89	4.33	0.8	42.69	7.03	1.8	13.9	24.57	17	25	-	-
 Egg, Cheese and Sausage Biscuit	33.76	20.79	560	32.86	4.22	0.9	33.76	15.53	8.15	10.99	37.88	19	18	-	1
 Ham Biscuit	41.08	12.56	363	40.38	2.95	0.7	41.08	4.53	0.97	10.7	17.28	14	15	-	-
 Sausage Biscuit	38.1	11.53	461	36.8	2.74	1.3	38.1	12.2	2.88	13.53	30.24	14	12	-	-
 Cheese Biscuit	12.55	2.78	112	12.15	0.9	0.4	12.55	2.24	1.39	1.69	5.66	5	9	-	-
 Whole Wheat Biscuit	13.87	2.9	93	11.67	0.78	2.2	13.87	1.39	1.04	0.8	3.47	4	7	-	-
 Water Biscuit	2.87	0.41	17	2.77	0.01	0.1	2.87	0.17	0.11	0.1	0.41	1	-	-	-
 Cinnamon Raisin Biscuit	34.56	3.68	225	33.36	12.67	1.2	34.56	3.59	2.51	1.86	8.45	9	12	-	-
 Lower Fat Plain or Buttermilk Biscuit	10.95	1.54	59	10.55	1.61	0.4	10.95	0.55	0.15	0.26	1.04	3	-	-	-
 Biscuit with Gravy	43.96	12.35	508	42.86	9.33	1.1	43.96	13.02	8.08	7.25	31.65	17	19	-	2
